Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "Replicape_B3.brd" as of: 07.10.15 20:57
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
3.3V,Top,3.230,1.653,0
5V,Top,3.539,1.728,270
12..24V,Top,0.829,0.531,90
12V,Top,3.782,2.313,90
C1,Top,0.822,1.040,0
C2,Top,1.124,1.236,90
C3,Top,1.368,1.040,0
C4,Top,1.441,0.941,180
C5,Top,1.384,1.701,270
C6,Top,1.486,1.343,90
C7,Top,1.906,1.040,0
C8,Top,1.976,0.941,180
C9,Top,2.921,1.041,0
C10,Top,2.994,0.941,180
C11,Top,0.811,0.762,270
C12,Top,0.811,1.417,90
C13,Top,1.367,1.833,180
C14,Top,1.919,1.705,270
C15,Top,2.933,1.693,270
C16,Top,1.366,0.762,270
C17,Top,1.068,1.826,180
C18,Top,1.366,1.417,90
C19,Top,2.024,1.337,90
C20,Top,0.748,0.961,90
C21,Top,0.813,1.140,0
C22,Top,0.825,0.984,180
C23,Top,1.691,1.236,90
C24,Top,1.892,0.762,270
C25,Top,1.913,1.406,90
C26,Top,1.624,2.154,90
C27,Top,0.941,1.344,90
C28,Top,1.303,0.963,90
C29,Top,3.037,1.341,90
C30,Top,2.207,1.242,90
C31,Top,0.899,0.941,180
C32,Top,1.827,0.959,90
C33,Top,1.350,1.140,0
C34,Top,2.907,0.762,270
C35,Top,1.382,0.984,180
C36,Top,2.949,1.417,90
C37,Top,1.892,1.140,0
C38,Top,1.907,0.984,180
C39,Top,2.406,1.041,0
C40,Top,2.469,0.939,180
C41,Top,0.848,1.701,270
C42,Top,2.409,1.699,270
C43,Top,2.516,1.339,90
C44,Top,3.240,1.228,90
C45,Top,1.766,2.152,270
C46,Top,1.976,2.153,90
C47,Top,3.053,1.809,0
C48,Top,3.346,1.809,180
C49,Top,2.854,2.031,270
C50,Top,2.937,1.807,270
C51,Top,2.915,2.136,90
C52,Top,3.748,1.888,0
C53,Top,4.001,1.889,180
C54,Top,3.550,2.109,270
C55,Top,3.625,1.878,270
C56,Top,3.612,2.231,90
C57,Top,0.438,2.205,0
C58,Top,0.433,1.511,0
C59,Top,0.489,1.197,90
C60,Top,2.404,0.762,270
C61,Top,2.156,1.921,90
C62,Top,2.431,1.421,90
C63,Top,2.713,1.238,90
C64,Top,2.335,0.957,90
C65,Top,2.390,1.140,0
C66,Top,2.409,0.986,180
C67,Top,2.860,0.959,90
C68,Top,2.911,1.140,0
C69,Top,2.943,0.984,180
C70,Top,2.843,1.096,90
C71,Top,0.744,1.102,90
C72,Top,1.272,1.091,90
C73,Top,1.809,1.085,90
C74,Top,2.325,1.077,90
C75,Top,2.925,1.518,0
C76,Top,1.348,1.522,0
C77,Top,0.791,1.514,0
C78,Top,1.896,1.504,0
C79,Top,2.392,1.524,0
C80,Top,3.346,1.728,180
C81,Top,4.000,1.805,180
C82,Top,2.642,1.906,270
C83,Top,2.626,2.094,270
C84,Top,1.224,1.530,180
C85,Top,1.778,1.520,180
