Qty,MPN,Value,Device,Package,Parts,Description
4,AO7400,,NPN-TRANSISTOR_SOT23,SOT23,"Q4, Q5, Q6, Q7",NPN TRANSISTOR
10,RL1220S-R10-F,0.1R,R-EU_R0805,R0805,"R1, R2, R3, R4, R7, R8, R9, R10, R29, R30","RESISTOR, European symbol"
45,CL10B104KB8NNND,0.1uF,C-EUC0402,C0402,"C2, C4, C5, C6, C8, C10, C13, C14, C15, C17, C19, C20, C22, C23, C27, C28, C29, C30, C31, C32, C35, C38, C40, C41, C42, C43, C44, C61, C63, C64, C66, C67, C69, C70, C71, C72, C73, C74, C82, C83, C84, C85, C86, C87, C88","CAPACITOR, European symbol"
13,RC0402FR-0710KL,10K,R-EU_R0402,R0402,"R6, R27, R31, R35, R37, R38, R39, R40, R41, R49, R50, R58, R60","RESISTOR, European symbol"
2,RC0402FR-0710KL,"10K,1%",R-EU_R0402,R0402,"R22, R43","RESISTOR, European symbol"
4,CL05B103KB5NNNC,10nF,C-EUC0402,C0402,"C49, C50, C54, C55","CAPACITOR, European symbol"
5,C2012X5R1V106M085AC,10uF,C-EUC0805,C0805,"C89, C90, C91, C92, C93","CAPACITOR, European symbol"
6,CL31B106KAHNNNE,10uF,C-EUC1206,C1206,"C47, C48, C52, C53, C80, C81","CAPACITOR, European symbol"
1,RMCF0402FT120K,"120K,1%",R-EU_R0402,R0402,R42,"RESISTOR, European symbol"
2,C1005X7R1H102K050BA,1nF,C-EUC0402,C0402,"C51, C56","CAPACITOR, European symbol"
5,RC1005J2R2CS,2.2R,R-EU_R0402,R0402,"R52, R53, R59, R70, R71","RESISTOR, European symbol"
7,640455-2,22-05-7028-02,22-05-7028-02,7395-02,"X4, X5, X6, X7, X8, X9, X11",CONNECTOR
6,640455-3,22-05-7038-03,22-05-7038-03,7395-03,"X1, X10, X13, X19, X22, X23",CONNECTOR
6,640455-4,22-05-7048-04,22-05-7048-04,7395-04,"X12, X14, X15, X16, X17, X18",CONNECTOR
5,C1005X7R1E223K050BB,22nF,C-EUC0402,C0402,"C1, C3, C7, C9, C39","CAPACITOR, European symbol"
2,NR8040T330M,33uH,RT8040T330,NR8040T330,"L1, L2",
2,RC1005J393CS,39K,R-EU_R0402,R0402,"R26, R44","RESISTOR, European symbol"
31,RC0402JR-074K7L,4.7K,R-EU_R0402,R0402,"R5, R11, R14, R15, R16, R19, R20, R21, R23, R24, R25, R28, R32, R33, R34, R36, R45, R46, R47, R48, R51, R54, R55, R56, R57, R61, R62, R63, R64, R65, R66","RESISTOR, European symbol"
3,CL05B472KA5NNNC,4.7nF,C-EUC0402,C0402,"C57, C58, C59","CAPACITOR, European symbol"
18,GRM155R60J475ME47D,4.7uF,C-EUC0402,C0402,"C12, C18, C21, C25, C26, C33, C36, C37, C45, C46, C62, C65, C68, C75, C76, C77, C78, C79","CAPACITOR, European symbol"
1,RC1005F4422CS,"44.3K,1%",R-EU_R0402,R0402,R12,"RESISTOR, European symbol"
3,RC0402FR-074K7L,"4K7, 1%",R-EU_R0402,R0402,"R13, R17, R18","RESISTOR, European symbol"
17,M74VHC1GT126DF1G,74AHC1G126DCK,74AHC1G126DCK,SC70-5,"IC3, IC4, IC6, IC7, IC8, IC9, IC10, IC11, IC13, IC14, IC16, IC17, IC18, IC19, IC20, IC21, IC22",Single Bus Buffer Gate With 3-State Outputs
3,SIRA34DP-T1-GE3,AON6758,AON6758,8-DFN-EP-(5X6),"Q1, Q2, Q3",
5,RHS1V101MCN1GS,C,C,RHS1V10MCN1GS,"C94, C95, C96, C97, C98",
1,CAT24C256WI-GT3,CAT24C256,CAT24C256,SOIC127P600X175-8N,U18,
1,CD4050BDR,CD4050BD,CD4050BD,SOIC127P600X175-16N,U19,CMOS Hex Buffer/Converters
2,SSHQ-123-D-08-F-LF,F-2X23-,F-2X23-,DIL-100-2X23,"P8, P9",
1,0891020.NXS,FUSE,FUSE,3557,F1,Fuse
2,3557,FUSE-HOLDER,FUSE-HOLDER,FUSE-HOLDER,"FH1, FH2",
6,MBRA340T3G,MBRA340T3,MBRA340T3,SMA,"D1, D2, D3, D4, D5, D6",Surface Mount Schottky Power Rectifier
2,39532-1002,MSTBA2,MSTBA2,MSTBA2,"X3, X21",PHOENIX
2,39532-1004,MSTBA4,MSTBA4,MSTBA4,"X2, X20",PHOENIX
2,39530-0004,MSTBA4-CONNECTOR,MSTBA4-CONNECTOR,MSTBA4-CONNECTOR,"XC1, XC2",
2,39530-0002,MSTBV2-CONNECTOR,MSTBV2-CONNECTOR,MSTBA2-CONNECTOR,"XC3, XC4",
1,"PCA9685PW,112",PCA9685PW,PCA9685PW,SOP65P640X110-28N,U11,"16-channel, 12-bit PWM Fm+ I2C-bus LED controller"
2,RT8268GFP,RT8268,RT8268,MSOP10,"U6, U10",
5,MC74HC595ADTR2G,SN74AHC595PW,SN74AHC595PW,SOP65P640X120-16N,"U1, U2, U3, U4, U5",8 bit shift registers with 3-state  output registers
5,TMC2100-LA-T,TMC2100-LA,TMC2100-LA,QFN36-PAD,"IC1, IC2, IC5, IC12, IC15","Trinamic TMC2100 Stepper Motor Driver (5V...46V, 1.2A, peak 1.7A, 256 microsteps)"
9,Q65110A7211,blue,LEDCHIP-LED0603,CHIP-LED0603,"LED0, LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8",LED
